from,to,weight
ezfvh1yd,vnnwzoon,4
ezfvh1yd,ohv0c981,5
ezfvh1yd,gauukniy,5
ezfvh1yd,8qkm4op5,3
ezfvh1yd,b8h8uy0d,1
gauukniy,b98i0q0c,1
gauukniy,zan8z6cj,2
gauukniy,b98i0q0c,1
gauukniy,ohv0c981,5
gauukniy,ezfvh1yd,5
8qkm4op5,ezfvh1yd,3
8qkm4op5,b98i0q0c,1
8qkm4op5,zhncnrqh,1
8qkm4op5,ywj7r6yv,1
zan8z6cj,2gm2vp7w,7
zan8z6cj,qtd4nwnf,1
zan8z6cj,gauukniy,2
zan8z6cj,fyzi3ukn,1
zan8z6cj,cl6iwdzj,1
zan8z6cj,ky74qsy5,2
zan8z6cj,ttgp5d1q,1
zan8z6cj,gcfrvnrq,1
zan8z6cj,b98i0q0c,1
zan8z6cj,b98i0q0c,1
f3m5xl4b,we8zkaxp,3
f3m5xl4b,2gm2vp7w,1
f3m5xl4b,cl6iwdzj,1
f3m5xl4b,469aazzl,1
zcuavqv2,li1ct8kz,1
zcuavqv2,ezfvh1yd,1
zcuavqv2,pv34xizl,1
zcuavqv2,9njhgqjt,1
zcuavqv2,lvtt31qo,1
zcuavqv2,tpx46qea,1
zcuavqv2,ctvn5bcc,1
zcuavqv2,isrmkgxn,1
zcuavqv2,gcfrvnrq,1
zcuavqv2,w76lz2ap,1
ky74qsy5,8qy1knb8,1
ky74qsy5,hdlqwv5w,1
ky74qsy5,e1h602xs,1
ky74qsy5,zan8z6cj,2
ky74qsy5,ttgp5d1q,1
ky74qsy5,zcuavqv2,1
ohv0c981,ezfvh1yd,4
ohv0c981,ywj7r6yv,1
ohv0c981,gauukniy,4
ohv0c981,zcuavqv2,1
ohv0c981,lvtt31qo,1
ohv0c981,cg5akdum,3
ohv0c981,gcfrvnrq,1
ohv0c981,vnnwzoon,1
ohv0c981,b98i0q0c,1
ohv0c981,hdlqwv5w,1
2gm2vp7w,zan8z6cj,7
2gm2vp7w,ny7i65xf,1
2gm2vp7w,js5eao29,1
2gm2vp7w,we8zkaxp,1
2gm2vp7w,cl6iwdzj,1
2gm2vp7w,hdlqwv5w,1
2gm2vp7w,39grl1tb,1
zhncnrqh,9njhgqjt,1
zhncnrqh,isrmkgxn,1
zhncnrqh,b8h8uy0d,1
zhncnrqh,ctvn5bcc,1
zhncnrqh,wp4300ik,1
zhncnrqh,ezfvh1yd,1
zhncnrqh,wz29onlw,1
zhncnrqh,qtd4nwnf,1
zhncnrqh,8qkm4op5,1
zhncnrqh,ohv0c981,1
6mf4wd2z,tpx46qea,1
6mf4wd2z,u6iy9n7v,1
6mf4wd2z,8qy1knb8,1
6mf4wd2z,9njhgqjt,1
qtd4nwnf,9g3466ce,1
qtd4nwnf,cl6iwdzj,1
qtd4nwnf,9njhgqjt,1
qtd4nwnf,b8h8uy0d,2
qtd4nwnf,7k9j75ig,1
qtd4nwnf,ywj7r6yv,1
qtd4nwnf,5y5w27n8,1
qtd4nwnf,zhncnrqh,1
qtd4nwnf,guoa029e,1
qtd4nwnf,hdlqwv5w,1
u6iy9n7v,ny7i65xf,1
u6iy9n7v,cl6iwdzj,1
u6iy9n7v,2gm2vp7w,1
u6iy9n7v,23mbj83y,1
u6iy9n7v,hdlqwv5w,1
u6iy9n7v,39grl1tb,1
u6iy9n7v,ttgp5d1q,1
zo8vfvom,pv34xizl,2
zo8vfvom,b98i0q0c,1
zo8vfvom,rmdv0zae,1
zo8vfvom,gcfrvnrq,1
zo8vfvom,cg5akdum,2
cg5akdum,ohv0c981,4
cg5akdum,gcfrvnrq,1
cg5akdum,5y5w27n8,1
o42b386c,ywj7r6yv,1
o42b386c,guoa029e,1
o42b386c,469aazzl,1
o42b386c,dlpw2qhs,1
o42b386c,cg5akdum,1
o42b386c,cl6iwdzj,1
o42b386c,ttgp5d1q,1
o42b386c,ohv0c981,1
yyx7zv50,hdlqwv5w,1
yyx7zv50,zan8z6cj,1
yyx7zv50,ctvn5bcc,1
yyx7zv50,7k9j75ig,1
yyx7zv50,li1ct8kz,1
yyx7zv50,u6iy9n7v,1
yyx7zv50,2gm2vp7w,1
yyx7zv50,pv34xizl,1
yyx7zv50,gcfrvnrq,1
yyx7zv50,5y5w27n8,1
e442rd3v,ttgp5d1q,1
e442rd3v,b98i0q0c,1
e442rd3v,dlpw2qhs,1
e442rd3v,pv34xizl,1
5y5w27n8,cg5akdum,1
5y5w27n8,b98i0q0c,1
5y5w27n8,ny7i65xf,1
5y5w27n8,2gm2vp7w,1
5y5w27n8,yyx7zv50,1
5y5w27n8,wo215i77,1
5y5w27n8,hdlqwv5w,1
5y5w27n8,469aazzl,1
5y5w27n8,9g3466ce,1
7k9j75ig,fyzi3ukn,1
7k9j75ig,b98i0q0c,1
7k9j75ig,n6ki8v6d,1
7k9j75ig,qtd4nwnf,1
7k9j75ig,8qkm4op5,1
7k9j75ig,2gm2vp7w,1
7k9j75ig,b8h8uy0d,1
7k9j75ig,hdlqwv5w,1
7k9j75ig,0ty8p249,1
7k9j75ig,rmdv0zae,1
cl6iwdzj,39grl1tb,1
cl6iwdzj,wo215i77,1
cl6iwdzj,m36p5uu7,1
cl6iwdzj,guoa029e,1
cl6iwdzj,tpx46qea,1
cl6iwdzj,5y5w27n8,1
cl6iwdzj,b98i0q0c,1
cl6iwdzj,2gm2vp7w,1
cl6iwdzj,cl6iwdzj,1
8qy1knb8,hdlqwv5w,1
8qy1knb8,wo215i77,1
8qy1knb8,kffjpkwm,1
8qy1knb8,ohv0c981,1
8qy1knb8,5y5w27n8,1
8qy1knb8,6mf4wd2z,1
469aazzl,ywj7r6yv,1
469aazzl,guoa029e,1
469aazzl,dlpw2qhs,1
469aazzl,o42b386c,1
469aazzl,lvtt31qo,1
ctvn5bcc,b8h8uy0d,1
ctvn5bcc,zhncnrqh,1
ctvn5bcc,cg5akdum,1
ctvn5bcc,guoa029e,1
ctvn5bcc,ezfvh1yd,1
ctvn5bcc,9g3466ce,1
ctvn5bcc,8qkm4op5,1
ctvn5bcc,zcuavqv2,1
wp4300ik,vnnwzoon,1
wp4300ik,gcfrvnrq,1
wp4300ik,gcfrvnrq,1
wp4300ik,b98i0q0c,1
wp4300ik,n6ki8v6d,1
wp4300ik,cl6iwdzj,1
wp4300ik,zhncnrqh,1
wp4300ik,9g3466ce,1
e1h602xs,2gm2vp7w,1
e1h602xs,ny7i65xf,1
e1h602xs,we8zkaxp,1
e1h602xs,8qy1knb8,1
e1h602xs,wo215i77,1
e1h602xs,ky74qsy5,1
39grl1tb,ttgp5d1q,1
39grl1tb,ky74qsy5,1
39grl1tb,guoa029e,1
39grl1tb,2gm2vp7w,1
39grl1tb,cl6iwdzj,1
39grl1tb,hdlqwv5w,1
39grl1tb,o42b386c,1
39grl1tb,299wzuz4,1
39grl1tb,m36p5uu7,1
39grl1tb,zcuavqv2,1
wo215i77,ny7i65xf,1
wo215i77,cl6iwdzj,1
wo215i77,b8h8uy0d,2
wo215i77,ezfvh1yd,1
wo215i77,vnnwzoon,1
wo215i77,cg5akdum,1
wo215i77,w76lz2ap,1
wo215i77,8qy1knb8,1
wo215i77,yyx7zv50,1
wo215i77,f3m5xl4b,1
23mbj83y,299wzuz4,1
23mbj83y,tpx46qea,1
