from,to,weight
b8h8uy0d,guoa029e,0
8qkm4op5,guoa029e,-1
NA,guoa029e,NA
qtd4nwnf,guoa029e,1
tpx46qea,guoa029e,0
js5eao29,guoa029e,1
pv34xizl,guoa029e,1
zo8vfvom,guoa029e,1
nxb120ab,guoa029e,0
ywj7r6yv,guoa029e,0
ky74qsy5,guoa029e,-1
u6iy9n7v,guoa029e,-1
ttgp5d1q,guoa029e,1
rsqgxgj7,guoa029e,1
23mbj83y,guoa029e,1
100,guoa029e,1
w76lz2ap,guoa029e,-1
fake0,yyx7zv50,NA
NA,yyx7zv50,NA
fake,yyx7zv50,NA
ny7i65xf,yyx7zv50,1
0ty8p249,yyx7zv50,-1
wo215i77,yyx7zv50,0
NA,yyx7zv50,NA
we8zkaxp,yyx7zv50,-1
8qy1knb8,yyx7zv50,-1
469aazzl,yyx7zv50,-1
vnnwzoon,yyx7zv50,-1
kffjpkwm,yyx7zv50,-1
y68rafkq,yyx7zv50,-1
cg5akdum,yyx7zv50,NA
39grl1tb,yyx7zv50,1
cl6iwdzj,yyx7zv50,0
fyzi3ukn,yyx7zv50,-1
lvtt31qo,yyx7zv50,-1
yyx7zv50,yyx7zv50,0
e1h602xs,yyx7zv50,1
guoa029e,yyx7zv50,0
xxkx1e1g,yyx7zv50,1
ezfvh1yd,yyx7zv50,-1
zan8z6cj,yyx7zv50,-1
isrmkgxn,yyx7zv50,-1
9g3466ce,yyx7zv50,-1
ctvn5bcc,yyx7zv50,-1
b98i0q0c,yyx7zv50,NA
NA,yyx7zv50,NA
rmdv0zae,yyx7zv50,-1
5y5w27n8,yyx7zv50,-1
b98i0q0c,yyx7zv50,NA
e442rd3v,yyx7zv50,0
gcfrvnrq,yyx7zv50,NA
9njhgqjt,yyx7zv50,NA
b8h8uy0d,yyx7zv50,-1
8qkm4op5,yyx7zv50,-1
NA,yyx7zv50,NA
qtd4nwnf,yyx7zv50,-1
tpx46qea,yyx7zv50,NA
js5eao29,yyx7zv50,1
pv34xizl,yyx7zv50,-1
zo8vfvom,yyx7zv50,0
nxb120ab,yyx7zv50,-1
ywj7r6yv,yyx7zv50,0
ky74qsy5,yyx7zv50,0
u6iy9n7v,yyx7zv50,-1
ttgp5d1q,yyx7zv50,-1
rsqgxgj7,yyx7zv50,1
23mbj83y,yyx7zv50,-1
100,yyx7zv50,1
w76lz2ap,yyx7zv50,-1
fake0,2gm2vp7w,NA
NA,2gm2vp7w,NA
fake,2gm2vp7w,NA
ny7i65xf,2gm2vp7w,-1
0ty8p249,2gm2vp7w,-1
wo215i77,2gm2vp7w,-1
NA,2gm2vp7w,NA
we8zkaxp,2gm2vp7w,0
8qy1knb8,2gm2vp7w,-1
469aazzl,2gm2vp7w,-1
vnnwzoon,2gm2vp7w,0
kffjpkwm,2gm2vp7w,-1
y68rafkq,2gm2vp7w,1
cg5akdum,2gm2vp7w,1
39grl1tb,2gm2vp7w,0
cl6iwdzj,2gm2vp7w,-1
fyzi3ukn,2gm2vp7w,-1
lvtt31qo,2gm2vp7w,-1
yyx7zv50,2gm2vp7w,-1
e1h602xs,2gm2vp7w,-1
guoa029e,2gm2vp7w,-1
xxkx1e1g,2gm2vp7w,-1
ezfvh1yd,2gm2vp7w,-1
zan8z6cj,2gm2vp7w,-1
isrmkgxn,2gm2vp7w,-1
9g3466ce,2gm2vp7w,0
ctvn5bcc,2gm2vp7w,1
b98i0q0c,2gm2vp7w,NA
NA,2gm2vp7w,NA
rmdv0zae,2gm2vp7w,-1
5y5w27n8,2gm2vp7w,-1
b98i0q0c,2gm2vp7w,NA
e442rd3v,2gm2vp7w,0
gcfrvnrq,2gm2vp7w,NA
9njhgqjt,2gm2vp7w,NA
b8h8uy0d,2gm2vp7w,-1
8qkm4op5,2gm2vp7w,-1
NA,2gm2vp7w,NA
qtd4nwnf,2gm2vp7w,1
tpx46qea,2gm2vp7w,0
js5eao29,2gm2vp7w,1
pv34xizl,2gm2vp7w,-1
zo8vfvom,2gm2vp7w,0
nxb120ab,2gm2vp7w,-1
ywj7r6yv,2gm2vp7w,0
ky74qsy5,2gm2vp7w,-1
u6iy9n7v,2gm2vp7w,0
ttgp5d1q,2gm2vp7w,-1
rsqgxgj7,2gm2vp7w,-1
23mbj83y,2gm2vp7w,-1
100,2gm2vp7w,1
w76lz2ap,2gm2vp7w,-1
fake0,100,NA
NA,100,NA
fake,100,NA
ny7i65xf,100,-1
0ty8p249,100,-1
wo215i77,100,0
NA,100,NA
we8zkaxp,100,-1
8qy1knb8,100,-1
469aazzl,100,-1
vnnwzoon,100,-1
kffjpkwm,100,-1
y68rafkq,100,-1
cg5akdum,100,NA
39grl1tb,100,-1
cl6iwdzj,100,-1
fyzi3ukn,100,-1
lvtt31qo,100,-1
yyx7zv50,100,-1
e1h602xs,100,-1
guoa029e,100,-1
xxkx1e1g,100,-1
ezfvh1yd,100,-1
zan8z6cj,100,-1
isrmkgxn,100,-1
9g3466ce,100,-1
ctvn5bcc,100,-1
b98i0q0c,100,NA
NA,100,NA
rmdv0zae,100,-1
5y5w27n8,100,-1
b98i0q0c,100,NA
e442rd3v,100,0
gcfrvnrq,100,NA
9njhgqjt,100,NA
b8h8uy0d,100,-1
8qkm4op5,100,-1
NA,100,NA
qtd4nwnf,100,-1
tpx46qea,100,0
js5eao29,100,-1
pv34xizl,100,-1
zo8vfvom,100,-1
nxb120ab,100,-1
ywj7r6yv,100,0
ky74qsy5,100,-1
u6iy9n7v,100,0
ttgp5d1q,100,-1
rsqgxgj7,100,-1
23mbj83y,100,1
100,100,0
w76lz2ap,100,-1
fake0,NA,NA
NA,NA,NA
fake,NA,NA
ny7i65xf,NA,-1
0ty8p249,NA,-1
wo215i77,NA,0
NA,NA,NA
we8zkaxp,NA,-1
8qy1knb8,NA,-1
