from,to,weight
e442rd3v,299wzuz4,1
e442rd3v,23mbj83y,1
e442rd3v,f3m5xl4b,1
e442rd3v,zo8vfvom,1
e442rd3v,fyzi3ukn,1
e442rd3v,9g3466ce,1
gauukniy,b98i0q0c,1
gauukniy,guoa029e,1
gauukniy,dlpw2qhs,1
gauukniy,2gm2vp7w,1
gauukniy,ohv0c981,3
gauukniy,8qkm4op5,1
zan8z6cj,b98i0q0c,1
zan8z6cj,299wzuz4,1
zan8z6cj,js5eao29,1
zan8z6cj,pv34xizl,1
zan8z6cj,qtd4nwnf,1
zan8z6cj,0ty8p249,1
zan8z6cj,8qy1knb8,1
zan8z6cj,m36p5uu7,1
zan8z6cj,7k9j75ig,1
zan8z6cj,cg5akdum,1
xxkx1e1g,kffjpkwm,1
xxkx1e1g,8qy1knb8,1
xxkx1e1g,ny7i65xf,1
xxkx1e1g,39grl1tb,1
xxkx1e1g,yyx7zv50,1
xxkx1e1g,guoa029e,1
xxkx1e1g,zcuavqv2,1
xxkx1e1g,we8zkaxp,1
xxkx1e1g,ezfvh1yd,1
299wzuz4,zan8z6cj,1
299wzuz4,b98i0q0c,1
299wzuz4,js5eao29,1
299wzuz4,2gm2vp7w,1
299wzuz4,469aazzl,1
299wzuz4,e442rd3v,1
wo215i77,cl6iwdzj,1
wo215i77,gcfrvnrq,1
wo215i77,ttgp5d1q,1
wo215i77,ky74qsy5,1
cl6iwdzj,39grl1tb,1
cl6iwdzj,wo215i77,1
cl6iwdzj,m36p5uu7,1
cl6iwdzj,yyx7zv50,1
cl6iwdzj,rmdv0zae,1
5y5w27n8,8qkm4op5,1
pv34xizl,b98i0q0c,1
pv34xizl,lvtt31qo,1
pv34xizl,n6ki8v6d,1
pv34xizl,hdlqwv5w,1
pv34xizl,guoa029e,1
pv34xizl,zo8vfvom,1
pv34xizl,zan8z6cj,1
pv34xizl,e1h602xs,1
qtd4nwnf,9njhgqjt,1
qtd4nwnf,0ty8p249,1
qtd4nwnf,8qy1knb8,1
qtd4nwnf,e1h602xs,1
qtd4nwnf,b8h8uy0d,2
qtd4nwnf,zhncnrqh,1
qtd4nwnf,isrmkgxn,1
qtd4nwnf,noos3nra,1
qtd4nwnf,nxb120ab,1
qtd4nwnf,wp4300ik,1
m36p5uu7,y68rafkq,1
m36p5uu7,39grl1tb,1
m36p5uu7,cl6iwdzj,1
m36p5uu7,ezfvh1yd,1
m36p5uu7,nxb120ab,1
m36p5uu7,guoa029e,1
m36p5uu7,zan8z6cj,1
m36p5uu7,js5eao29,1
m36p5uu7,7k9j75ig,1
m36p5uu7,pv34xizl,1
vnnwzoon,9g3466ce,1
vnnwzoon,y68rafkq,1
vnnwzoon,ezfvh1yd,3
vnnwzoon,gcfrvnrq,1
vnnwzoon,m36p5uu7,1
vnnwzoon,ohv0c981,1
vnnwzoon,tpx46qea,1
vnnwzoon,pv34xizl,1
vnnwzoon,rmdv0zae,1
vnnwzoon,b8h8uy0d,1
8qy1knb8,kffjpkwm,1
8qy1knb8,xxkx1e1g,1
8qy1knb8,0ty8p249,1
8qy1knb8,guoa029e,1
8qy1knb8,we8zkaxp,1
8qy1knb8,zcuavqv2,1
8qy1knb8,qtd4nwnf,1
8qy1knb8,9njhgqjt,1
8qy1knb8,vnnwzoon,1
8qy1knb8,dlpw2qhs,1
we8zkaxp,kffjpkwm,1
we8zkaxp,zcuavqv2,1
we8zkaxp,li1ct8kz,1
we8zkaxp,xxkx1e1g,1
we8zkaxp,5y5w27n8,1
we8zkaxp,0ty8p249,1
ohv0c981,ezfvh1yd,4
ohv0c981,ywj7r6yv,1
ohv0c981,gauukniy,4
ohv0c981,li1ct8kz,1
ohv0c981,469aazzl,1
ohv0c981,b98i0q0c,1
ohv0c981,zcuavqv2,1
ohv0c981,vnnwzoon,1
ohv0c981,o42b386c,1
tpx46qea,6mf4wd2z,1
tpx46qea,vnnwzoon,1
tpx46qea,1,1
tpx46qea,23mbj83y,1
tpx46qea,299wzuz4,1
tpx46qea,nxb120ab,1
469aazzl,299wzuz4,1
469aazzl,ohv0c981,1
469aazzl,b98i0q0c,1
469aazzl,li1ct8kz,1
469aazzl,we8zkaxp,1
469aazzl,kffjpkwm,1
469aazzl,ywj7r6yv,1
469aazzl,zan8z6cj,1
469aazzl,js5eao29,1
469aazzl,vnnwzoon,1
ny7i65xf,rsqgxgj7,1
ny7i65xf,xxkx1e1g,1
ny7i65xf,yyx7zv50,1
ny7i65xf,39grl1tb,1
ny7i65xf,e1h602xs,1
ny7i65xf,u6iy9n7v,1
