from,to,weight
pv34xizl,gcfrvnrq,1
zo8vfvom,NA,NA
nxb120ab,tpx46qea,1
ywj7r6yv,NA,NA
ky74qsy5,23mbj83y,NA
u6iy9n7v,NA,NA
ttgp5d1q,w76lz2ap,1
rsqgxgj7,NA,NA
23mbj83y,ky74qsy5,1
100,NA,NA
w76lz2ap,5y5w27n8,1
fake0,ttgp5d1q,7
NA,NA,NA
fake,NA,NA
ny7i65xf,NA,NA
0ty8p249,5y5w27n8,1
wo215i77,NA,NA
NA,NA,NA
we8zkaxp,cl6iwdzj,1
8qy1knb8,vnnwzoon,1
469aazzl,NA,NA
vnnwzoon,qtd4nwnf,1
kffjpkwm,0ty8p249,1
y68rafkq,9njhgqjt,1
cg5akdum,NA,NA
39grl1tb,cl6iwdzj,1
cl6iwdzj,0ty8p249,1
fyzi3ukn,NA,NA
lvtt31qo,NA,NA
yyx7zv50,100,1
e1h602xs,NA,NA
guoa029e,8qy1knb8,1
xxkx1e1g,e1h602xs,1
ezfvh1yd,NA,NA
zan8z6cj,js5eao29,1
isrmkgxn,NA,NA
9g3466ce,rmdv0zae,1
ctvn5bcc,e442rd3v,1
b98i0q0c,NA,NA
NA,NA,NA
rmdv0zae,NA,NA
5y5w27n8,8qkm4op5,1
b98i0q0c,NA,NA
e442rd3v,ctvn5bcc,1
gcfrvnrq,NA,NA
9njhgqjt,NA,NA
b8h8uy0d,NA,NA
8qkm4op5,isrmkgxn,1
NA,NA,NA
qtd4nwnf,vnnwzoon,1
tpx46qea,NA,NA
js5eao29,gcfrvnrq,1
pv34xizl,zo8vfvom,1
zo8vfvom,NA,NA
nxb120ab,ywj7r6yv,1
ywj7r6yv,NA,NA
ky74qsy5,NA,NA
u6iy9n7v,NA,NA
ttgp5d1q,NA,NA
rsqgxgj7,NA,NA
23mbj83y,rsqgxgj7,1
100,NA,NA
w76lz2ap,js5eao29,1
fake0,NA,NA
NA,NA,NA
fake,NA,NA
ny7i65xf,NA,NA
0ty8p249,NA,NA
wo215i77,NA,NA
NA,NA,NA
we8zkaxp,NA,NA
8qy1knb8,guoa029e,1
469aazzl,NA,NA
vnnwzoon,guoa029e,1
kffjpkwm,cl6iwdzj,1
y68rafkq,vnnwzoon,1
cg5akdum,NA,NA
39grl1tb,NA,NA
cl6iwdzj,NA,NA
fyzi3ukn,NA,NA
lvtt31qo,NA,NA
yyx7zv50,NA,NA
e1h602xs,NA,NA
guoa029e,NA,NA
xxkx1e1g,8qy1knb8,1
ezfvh1yd,NA,NA
zan8z6cj,zan8z6cj,7
isrmkgxn,NA,NA
9g3466ce,8qkm4op5,1
ctvn5bcc,o42b386c,1
b98i0q0c,NA,NA
NA,NA,NA
rmdv0zae,NA,NA
5y5w27n8,we8zkaxp,1
b98i0q0c,NA,NA
e442rd3v,NA,NA
gcfrvnrq,NA,NA
9njhgqjt,NA,NA
b8h8uy0d,NA,NA
8qkm4op5,w76lz2ap,1
NA,NA,NA
qtd4nwnf,8qkm4op5,1
tpx46qea,NA,NA
js5eao29,NA,NA
pv34xizl,guoa029e,1
zo8vfvom,NA,NA
nxb120ab,ctvn5bcc,1
ywj7r6yv,NA,NA
ky74qsy5,NA,NA
u6iy9n7v,NA,NA
ttgp5d1q,NA,NA
rsqgxgj7,NA,NA
23mbj83y,100,1
100,NA,NA
w76lz2ap,8qkm4op5,1
fake0,NA,NA
NA,NA,NA
fake,NA,NA
ny7i65xf,NA,NA
0ty8p249,NA,NA
wo215i77,NA,NA
NA,NA,NA
we8zkaxp,NA,NA
8qy1knb8,NA,NA
469aazzl,NA,NA
vnnwzoon,NA,NA
kffjpkwm,NA,NA
y68rafkq,qtd4nwnf,1
cg5akdum,NA,NA
39grl1tb,NA,NA
cl6iwdzj,NA,NA
