"rt,""stimulus"",""key_press"",""type"",""part"",""color"",""position"",""trial_type"",""trial_index"",""time_elapsed"",""internal_node_id"",""subject"",""accuracy"""
"493.1449999567121,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""red""""/></svg>"",""83"",""stim_present"",""test"",""red"",""left"",""html-keyboard-response"",""58"",""86477"",""0.0-3.0-0.0-1.15"",""afge"",""false"""
"1357.9199999803677,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""right"",""html-keyboard-response"",""60"",""88346"",""0.0-3.0-0.0-1.16"",""afge"",""true"""
"614.9149999837391,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""middle"",""html-keyboard-response"",""62"",""89471"",""0.0-3.0-0.0-1.17"",""afge"",""true"""
"499.31499996455386,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""middle"",""html-keyboard-response"",""64"",""90474"",""0.0-3.0-0.0-1.18"",""afge"",""true"""
"362.77499998686835,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""right"",""html-keyboard-response"",""66"",""91349"",""0.0-3.0-0.0-1.19"",""afge"",""true"""
"382.7249999740161,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""middle"",""html-keyboard-response"",""68"",""92243"",""0.0-3.0-0.0-1.20"",""afge"",""true"""
"317.5049999845214,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""red""""/></svg>"",""83"",""stim_present"",""test"",""red"",""left"",""html-keyboard-response"",""70"",""93069"",""0.0-3.0-0.0-1.21"",""afge"",""false"""
"460.94000001903623,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""left"",""html-keyboard-response"",""72"",""94034"",""0.0-3.0-0.0-1.22"",""afge"",""true"""
"284.9449999630451,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""green""""/></svg>"",""76"",""stim_present"",""test"",""green"",""right"",""html-keyboard-response"",""74"",""94831"",""0.0-3.0-0.0-1.23"",""afge"",""false"""
"719.8349999962375,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""middle"",""html-keyboard-response"",""76"",""96059"",""0.0-3.0-0.0-1.24"",""afge"",""true"""
"538.8449999736622,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""left"",""html-keyboard-response"",""78"",""97112"",""0.0-3.0-0.0-1.25"",""afge"",""true"""
"543.7949999468401,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""left"",""html-keyboard-response"",""80"",""98159"",""0.0-3.0-0.0-1.26"",""afge"",""true"""
"494.5350000052713,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""right"",""html-keyboard-response"",""82"",""99161"",""0.0-3.0-0.0-1.27"",""afge"",""true"""
"356.7649999749847,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""right"",""html-keyboard-response"",""84"",""100022"",""0.0-3.0-0.0-1.28"",""afge"",""true"""
"491.35499994736165,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""middle"",""html-keyboard-response"",""86"",""101025"",""0.0-3.0-0.0-1.29"",""afge"",""true"""
"632.7949999831617,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""left"",""html-keyboard-response"",""88"",""102169"",""0.0-3.0-0.0-1.30"",""afge"",""true"""
"468.9950000029057,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""right"",""html-keyboard-response"",""90"",""103149"",""0.0-3.0-0.0-1.31"",""afge"",""true"""
"313.2099999929778,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""right"",""html-keyboard-response"",""92"",""103972"",""0.0-3.0-0.0-1.32"",""afge"",""true"""
"292.99500002525747,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""red""""/></svg>"",""83"",""stim_present"",""test"",""red"",""left"",""html-keyboard-response"",""94"",""104776"",""0.0-3.0-0.0-1.33"",""afge"",""false"""
"678.5999999847263,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""middle"",""html-keyboard-response"",""96"",""105963"",""0.0-3.0-0.0-1.34"",""afge"",""true"""
"494.1450000042096,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""middle"",""html-keyboard-response"",""98"",""106961"",""0.0-3.0-0.0-1.35"",""afge"",""true"""
"363.69999998714775,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""middle"",""html-keyboard-response"",""101"",""120232"",""0.0-3.0-0.1-1.36"",""afge"",""true"""
"456.31000003777444,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""middle"",""html-keyboard-response"",""103"",""121203"",""0.0-3.0-0.1-1.37"",""afge"",""true"""
"456.92999998573214,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""right"",""html-keyboard-response"",""105"",""122167"",""0.0-3.0-0.1-1.38"",""afge"",""true"""
"434.82000002404675,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""left"",""html-keyboard-response"",""107"",""123118"",""0.0-3.0-0.1-1.39"",""afge"",""true"""
"492.6850000047125,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""right"",""html-keyboard-response"",""109"",""124116"",""0.0-3.0-0.1-1.40"",""afge"",""true"""
"481.91999999107793,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""left"",""html-keyboard-response"",""111"",""125109"",""0.0-3.0-0.1-1.41"",""afge"",""true"""
"477.8799999621697,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""middle"",""html-keyboard-response"",""113"",""126098"",""0.0-3.0-0.1-1.42"",""afge"",""true"""
"320.04500000039116,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""middle"",""html-keyboard-response"",""115"",""126932"",""0.0-3.0-0.1-1.43"",""afge"",""true"""
"349.97999999905005,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""left"",""html-keyboard-response"",""117"",""127790"",""0.0-3.0-0.1-1.44"",""afge"",""true"""
"345.88999999687076,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""red""""/></svg>"",""83"",""stim_present"",""test"",""red"",""left"",""html-keyboard-response"",""119"",""128645"",""0.0-3.0-0.1-1.45"",""afge"",""false"""
"587.9549999954179,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""right"",""html-keyboard-response"",""121"",""129740"",""0.0-3.0-0.1-1.46"",""afge"",""true"""
"362.36000002827495,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""green""""/></svg>"",""76"",""stim_present"",""test"",""green"",""right"",""html-keyboard-response"",""123"",""130613"",""0.0-3.0-0.1-1.47"",""afge"",""false"""
"489.2950000357814,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""left"",""html-keyboard-response"",""125"",""131613"",""0.0-3.0-0.1-1.48"",""afge"",""true"""
"368.04999999003485,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""middle"",""html-keyboard-response"",""127"",""132492"",""0.0-3.0-0.1-1.49"",""afge"",""true"""
"449.4350000168197,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""right"",""html-keyboard-response"",""129"",""133451"",""0.0-3.0-0.1-1.50"",""afge"",""true"""
"606.0649999999441,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""left"",""html-keyboard-response"",""131"",""134566"",""0.0-3.0-0.1-1.51"",""afge"",""true"""
"367.2950000036508,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""707.8"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""middle"",""html-keyboard-response"",""133"",""135448"",""0.0-3.0-0.1-1.52"",""afge"",""true"""
"291.23999999137595,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""green""""/></svg>"",""76"",""stim_present"",""test"",""green"",""right"",""html-keyboard-response"",""135"",""136251"",""0.0-3.0-0.1-1.53"",""afge"",""false"""
"767.0400000060908,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""371.5"""" fill=""""red""""/></svg>"",""76"",""stim_present"",""test"",""red"",""left"",""html-keyboard-response"",""137"",""137529"",""0.0-3.0-0.1-1.54"",""afge"",""true"""
"552.1350000053644,""<svg height=""""704"""" width=""""1486""""><rect height=""""70.4"""" width=""""70.4""""y=""""316.8""""x=""""1114.5"""" fill=""""green""""/></svg>"",""83"",""stim_present"",""test"",""green"",""right"",""html-keyboard-response"",""139"",""138595"",""0.0-3.0-0.1-1.55"",""afge"",""true"""
